name,shape,numel,layer,kind
model.layers.30.mlp.down_proj.weight,5120x13824,70778880,30,mlp.down_proj
model.layers.30.input_layernorm.weight,5120,5120,30,pre_attn_norm
model.layers.30.post_attention_layernorm.weight,5120,5120,30,post_attn_norm
model.layers.31.self_attn.q_proj.weight,5120x5120,26214400,31,attn.q_proj
model.layers.31.self_attn.k_proj.weight,5120x5120,26214400,31,attn.k_proj
model.layers.31.self_attn.v_proj.weight,5120x5120,26214400,31,attn.v_proj
model.layers.31.self_attn.o_proj.weight,5120x5120,26214400,31,attn.o_proj
model.layers.31.mlp.gate_proj.weight,13824x5120,70778880,31,mlp.gate_proj
model.layers.31.mlp.up_proj.weight,13824x5120,70778880,31,mlp.up_proj
model.layers.31.mlp.down_proj.weight,5120x13824,70778880,31,mlp.down_proj
model.layers.31.input_layernorm.weight,5120,5120,31,pre_attn_norm
model.layers.31.post_attention_layernorm.weight,5120,5120,31,post_attn_norm
model.layers.32.self_attn.q_proj.weight,5120x5120,26214400,32,attn.q_proj
model.layers.32.self_attn.k_proj.weight,5120x5120,26214400,32,attn.k_proj
model.layers.32.self_attn.v_proj.weight,5120x5120,26214400,32,attn.v_proj
model.layers.32.self_attn.o_proj.weight,5120x5120,26214400,32,attn.o_proj
model.layers.32.mlp.gate_proj.weight,13824x5120,70778880,32,mlp.gate_proj
model.layers.32.mlp.up_proj.weight,13824x5120,70778880,32,mlp.up_proj
model.layers.32.mlp.down_proj.weight,5120x13824,70778880,32,mlp.down_proj
model.layers.32.input_layernorm.weight,5120,5120,32,pre_attn_norm
model.layers.32.post_attention_layernorm.weight,5120,5120,32,post_attn_norm
model.layers.33.self_attn.q_proj.weight,5120x5120,26214400,33,attn.q_proj
model.layers.33.self_attn.k_proj.weight,5120x5120,26214400,33,attn.k_proj
model.layers.33.self_attn.v_proj.weight,5120x5120,26214400,33,attn.v_proj
model.layers.33.self_attn.o_proj.weight,5120x5120,26214400,33,attn.o_proj
model.layers.33.mlp.gate_proj.weight,13824x5120,70778880,33,mlp.gate_proj
model.layers.33.mlp.up_proj.weight,13824x5120,70778880,33,mlp.up_proj
model.layers.33.mlp.down_proj.weight,5120x13824,70778880,33,mlp.down_proj
model.layers.33.input_layernorm.weight,5120,5120,33,pre_attn_norm
model.layers.33.post_attention_layernorm.weight,5120,5120,33,post_attn_norm
model.layers.34.self_attn.q_proj.weight,5120x5120,26214400,34,attn.q_proj
model.layers.34.self_attn.k_proj.weight,5120x5120,26214400,34,attn.k_proj
model.layers.34.self_attn.v_proj.weight,5120x5120,26214400,34,attn.v_proj
model.layers.34.self_attn.o_proj.weight,5120x5120,26214400,34,attn.o_proj
model.layers.34.mlp.gate_proj.weight,13824x5120,70778880,34,mlp.gate_proj
model.layers.34.mlp.up_proj.weight,13824x5120,70778880,34,mlp.up_proj
model.layers.34.mlp.down_proj.weight,5120x13824,70778880,34,mlp.down_proj
model.layers.34.input_layernorm.weight,5120,5120,34,pre_attn_norm
model.layers.34.post_attention_layernorm.weight,5120,5120,34,post_attn_norm
model.layers.35.self_attn.q_proj.weight,5120x5120,26214400,35,attn.q_proj
model.layers.35.self_attn.k_proj.weight,5120x5120,26214400,35,attn.k_proj
model.layers.35.self_attn.v_proj.weight,5120x5120,26214400,35,attn.v_proj
model.layers.35.self_attn.o_proj.weight,5120x5120,26214400,35,attn.o_proj
model.layers.35.mlp.gate_proj.weight,13824x5120,70778880,35,mlp.gate_proj
model.layers.35.mlp.up_proj.weight,13824x5120,70778880,35,mlp.up_proj
model.layers.35.mlp.down_proj.weight,5120x13824,70778880,35,mlp.down_proj
model.layers.35.input_layernorm.weight,5120,5120,35,pre_attn_norm
model.layers.35.post_attention_layernorm.weight,5120,5120,35,post_attn_norm
model.layers.36.self_attn.q_proj.weight,5120x5120,26214400,36,attn.q_proj
model.layers.36.self_attn.k_proj.weight,5120x5120,26214400,36,attn.k_proj
model.layers.36.self_attn.v_proj.weight,5120x5120,26214400,36,attn.v_proj
model.layers.36.self_attn.o_proj.weight,5120x5120,26214400,36,attn.o_proj
model.layers.36.mlp.gate_proj.weight,13824x5120,70778880,36,mlp.gate_proj
model.layers.36.mlp.up_proj.weight,13824x5120,70778880,36,mlp.up_proj
model.layers.36.mlp.down_proj.weight,5120x13824,70778880,36,mlp.down_proj
model.layers.36.input_layernorm.weight,5120,5120,36,pre_attn_norm
model.layers.36.post_attention_layernorm.weight,5120,5120,36,post_attn_norm
model.layers.37.self_attn.q_proj.weight,5120x5120,26214400,37,attn.q_proj
model.layers.37.self_attn.k_proj.weight,5120x5120,26214400,37,attn.k_proj
model.layers.37.self_attn.v_proj.weight,5120x5120,26214400,37,attn.v_proj
model.layers.37.self_attn.o_proj.weight,5120x5120,26214400,37,attn.o_proj
model.layers.37.mlp.gate_proj.weight,13824x5120,70778880,37,mlp.gate_proj
model.layers.37.mlp.up_proj.weight,13824x5120,70778880,37,mlp.up_proj
model.layers.37.mlp.down_proj.weight,5120x13824,70778880,37,mlp.down_proj
model.layers.37.input_layernorm.weight,5120,5120,37,pre_attn_norm
model.layers.37.post_attention_layernorm.weight,5120,5120,37,post_attn_norm
